Operation Name,Operation Type,Address,City,Postal Code,Total Floor Area,Unit1,Average Hours Per Week,Annual Flow,Electricity,Unit2,Natural Gas,Unit3,Fuel Oil 1 & 2,Unit4,Fuel Oil 4 & 6,Unit5,Propane,Unit6,Coal,Unit7,Wood,Unit8,District Heat,Unit9,Renewable1,Emission Factor1,District Cool,Unit10,Renewable2,Emission Factor2,GHG Emissions (Kg),Energy Intensity (ekWh/sqft),Energy Intensity (ekWh/Mega Litres),Comments
EUSTON ST FAN HOUSE PUMP STN,Facilities related to the pumping of sewage,157 WINSTON AVE,LONDON,N6J 1R7,0.00,Square feet,168,4.32000,"53,116.81581",kWh,,,,,,,,,,,,,,,,,,,,,"2,125.25692",0.00000,"12,295.55921",
EXETER RD OC,"Storage facilities where equipment or vehicles are maintained, repaired or stored",707 EXETER RD,LONDON,N6E 1L3,"57,100.00",Square feet,126,,"702,357.46012",kWh,"83,911.41603",Cubic Meter,,,,,,,,,,,,,,,,,,,"186,747.21309",27.91855,0.00000,
FANSHAWE GOLF COURSE-MAIN CLUBHOUSE,Other,2835 SUNNINGDALE RD E,LONDON,N5X 3Y7,"11,335.00",Square feet,168,,"226,929.67448",kWh,,,,,,,,,,,,,,,,,,,,,"9,079.68321",20.02026,0.00000,
FANSHAWE GOLF COURSE-MTCE BLDG,Other,2835 SUNNINGDALE RD E,LONDON,N5X 3Y7,"2,800.00",Square feet,168,,"44,284.98880",kWh,,,,,,,,,,,,,,,,,,,,,"1,771.88669",15.81607,0.00000,
FANSHAWE GOLF COURSE-PARKSIDE NINE,Other,2835 SUNNINGDALE RD E,LONDON,N5X 3Y7,"1,760.00",Square feet,168,,"1,821.01074",kWh,,,,,,,,,,,,,,,,,,,,,72.86046,1.03467,0.00000,
FANSHAWE WELLS,Facilities related to the pumping of water,2835 CLARKE RD,LONDON,N5X 3Y7,0.00,Square feet,168,1.37700,"78,538.31004",kWh,,,,,,,,,,,,,,,,,,,,,"3,142.39632",0.00000,"57,035.80976",
FARQUHARSON ARENA,Indoor ice rinks,411 TECUMSEH AVE E,LONDON,N6C 1T4,"38,573.00",Square feet,126,,"626,344.06659",kWh,"32,414.19408",Cubic Meter,,,,,,,,,,,,,,,,,,,"86,343.80296",25.16877,0.00000,
FIDO PARK FIELD HOUSE,Other,733 WINDERMERE RD,LONDON,N5X 3P1,647.00,Square feet,168,,"3,128.59933",kWh,,,,,,,,,,,,,,,,,,,,,125.17839,4.83555,0.00000,
FIRE HALL # 01,Fire stations and associated offices and facilities,400 HORTON ST E,LONDON,N6B 1L7,"32,937.00",Square feet,168,,"378,165.70743",kWh,"50,995.27122",Cubic Meter,,,,,,,,,,,,,,,,,,,"111,543.82476",27.93612,0.00000,
FIRE HALL # 02,Fire stations and associated offices and facilities,1103 FLORENCE ST,LONDON,N5W 2M7,"24,700.00",Square feet,168,,"391,320.00000",kWh,"48,923.84634",Cubic Meter,,,,,,,,,,,,,,,,,,,"108,153.84936",36.89359,0.00000,
